Date,Ticker,Metric,Value
2023-05-22,SMCI,rolling_sharpe_21d,5.7247100515163725
2023-05-23,SMCI,rolling_vol_21d,1.0237763063301517
2023-05-23,SMCI,rolling_ret_21d,5.7497111226867395
2023-05-23,SMCI,rolling_sharpe_21d,5.567340333473857
2023-05-24,SMCI,rolling_vol_21d,0.403105080567005
2023-05-24,SMCI,rolling_ret_21d,2.7807804970404475
2023-05-24,SMCI,rolling_sharpe_21d,6.7743638785185984
2023-05-25,SMCI,rolling_vol_21d,0.8722630315799689
2023-05-25,SMCI,rolling_ret_21d,5.370506925920998
2023-05-25,SMCI,rolling_sharpe_21d,6.099658856668187
2023-05-26,SMCI,rolling_vol_21d,0.8801342918451017
2023-05-26,SMCI,rolling_ret_21d,6.012172659301246
2023-05-26,SMCI,rolling_sharpe_21d,6.774162436964281
2023-05-27,SMCI,rolling_vol_21d,0.8801342918451017
2023-05-27,SMCI,rolling_ret_21d,6.012172659301246
2023-05-27,SMCI,rolling_sharpe_21d,6.774162436964281
2023-05-28,SMCI,rolling_vol_21d,0.8801342918451017
2023-05-28,SMCI,rolling_ret_21d,6.012172659301246
2023-05-28,SMCI,rolling_sharpe_21d,6.774162436964281
2023-05-29,SMCI,rolling_vol_21d,0.8784960904652904
2023-05-29,SMCI,rolling_ret_21d,6.064639321109889
2023-05-29,SMCI,rolling_sharpe_21d,6.846518028241048
2023-05-30,SMCI,rolling_vol_21d,0.8662863401511522
2023-05-30,SMCI,rolling_ret_21d,7.266190748543464
2023-05-30,SMCI,rolling_sharpe_21d,8.330029476494298
2023-05-31,SMCI,rolling_vol_21d,0.9009770345118462
2023-05-31,SMCI,rolling_ret_21d,6.56170367703362
2023-05-31,SMCI,rolling_sharpe_21d,7.227380307825154
2023-06-01,SMCI,rolling_vol_21d,0.9004071220930528
2023-06-01,SMCI,rolling_ret_21d,6.74840240275215
2023-06-01,SMCI,rolling_sharpe_21d,7.439304108547359
2023-06-02,SMCI,rolling_vol_21d,0.9188435661091946
2023-06-02,SMCI,rolling_ret_21d,6.446512311082609
2023-06-02,SMCI,rolling_sharpe_21d,6.961481308693686
2023-06-03,SMCI,rolling_vol_21d,0.9188435661091946
2023-06-03,SMCI,rolling_ret_21d,6.446512311082609
2023-06-03,SMCI,rolling_sharpe_21d,6.961481308693686
2023-06-04,SMCI,rolling_vol_21d,0.9188435661091946
2023-06-04,SMCI,rolling_ret_21d,6.446512311082609
2023-06-04,SMCI,rolling_sharpe_21d,6.961481308693686
2023-06-05,SMCI,rolling_vol_21d,0.9209221969445686
2023-06-05,SMCI,rolling_ret_21d,6.241517853623494
2023-06-05,SMCI,rolling_sharpe_21d,6.723171484155431
2023-06-06,SMCI,rolling_vol_21d,0.9153879666044041
2023-06-06,SMCI,rolling_ret_21d,6.054223888180032
2023-06-06,SMCI,rolling_sharpe_21d,6.55921216711256
2023-06-07,SMCI,rolling_vol_21d,0.9072169001509817
2023-06-07,SMCI,rolling_ret_21d,5.698535293109232
2023-06-07,SMCI,rolling_sharpe_21d,6.226223621020714
2023-06-08,SMCI,rolling_vol_21d,0.903978615049278
2023-06-08,SMCI,rolling_ret_21d,5.630606944191067
2023-06-08,SMCI,rolling_sharpe_21d,6.1733838071897935
2023-06-09,SMCI,rolling_vol_21d,0.8997202578637076
2023-06-09,SMCI,rolling_ret_21d,6.002467088138495
2023-06-09,SMCI,rolling_sharpe_21d,6.615908707304214
2023-06-10,SMCI,rolling_vol_21d,0.8997202578637076
2023-06-10,SMCI,rolling_ret_21d,6.002467088138495
2023-06-10,SMCI,rolling_sharpe_21d,6.615908707304214
2023-06-11,SMCI,rolling_vol_21d,0.8997202578637076
2023-06-11,SMCI,rolling_ret_21d,6.002467088138495
2023-06-11,SMCI,rolling_sharpe_21d,6.615908707304214
2023-06-12,SMCI,rolling_vol_21d,0.9055471722815566
2023-06-12,SMCI,rolling_ret_21d,5.81911199811389
2023-06-12,SMCI,rolling_sharpe_21d,6.370857504395291
2023-06-13,SMCI,rolling_vol_21d,0.9362327664883646
2023-06-13,SMCI,rolling_ret_21d,5.361716002821445
2023-06-13,SMCI,rolling_sharpe_21d,5.673499361429857
2023-06-14,SMCI,rolling_vol_21d,0.9350895860126024
2023-06-14,SMCI,rolling_ret_21d,5.111953894442881
