Date,Ticker,Factor,R2
2016-06-27,AMD,R2,0.500502842222737
2016-06-28,AMD,R2,0.49180394922705906
2016-06-29,AMD,R2,0.47563368421889685
2016-06-30,AMD,R2,0.4673454413223441
2016-07-01,AMD,R2,0.46101390962348743
2016-07-05,AMD,R2,0.45840903355050944
2016-07-06,AMD,R2,0.4548632369992759
2016-07-07,AMD,R2,0.4557809717235438
2016-07-08,AMD,R2,0.4570561318081152
2016-07-11,AMD,R2,0.4419744023333735
2016-07-12,AMD,R2,0.4449287360604619
2016-07-13,AMD,R2,0.44578784448118647
2016-07-14,AMD,R2,0.4885552926992386
2016-07-15,AMD,R2,0.48912339279493844
2016-07-18,AMD,R2,0.46366636903132974
2016-07-19,AMD,R2,0.2695260496393913
2016-07-20,AMD,R2,0.2988060308484848
2016-07-21,AMD,R2,0.29981291498016005
2016-07-22,AMD,R2,0.2793410752290626
2016-07-25,AMD,R2,0.23698574948381312
2016-07-26,AMD,R2,0.23002372032258045
2016-07-27,AMD,R2,0.23375559085518482
2016-07-28,AMD,R2,0.22307214463124836
2016-07-29,AMD,R2,0.22238041790704077
2016-08-01,AMD,R2,0.23066251835680995
2016-08-02,AMD,R2,0.23368163269857567
2016-08-03,AMD,R2,0.2297885478251911
2016-08-04,AMD,R2,0.2376246385002848
2016-08-05,AMD,R2,0.23861367481789397
2016-08-08,AMD,R2,0.23603816677678335
2016-08-09,AMD,R2,0.23644828687102648
2016-08-10,AMD,R2,0.2321609274518519
2016-08-11,AMD,R2,0.23110622200725728
2016-08-12,AMD,R2,0.23164932784223102
2016-08-15,AMD,R2,0.2425772515663781
2016-08-16,AMD,R2,0.23974085332717243
2016-08-17,AMD,R2,0.24141112634155426
2016-08-18,AMD,R2,0.24688476495573142
2016-08-19,AMD,R2,0.25533211759845476
2016-08-22,AMD,R2,0.2552259544209372
2016-08-23,AMD,R2,0.2796852728977365
2016-08-24,AMD,R2,0.2711824638286564
2016-08-25,AMD,R2,0.2671774549614333
2016-08-26,AMD,R2,0.2568381800542343
2016-08-29,AMD,R2,0.25672574750947985
2016-08-30,AMD,R2,0.27485833417771366
2016-08-31,AMD,R2,0.27629026886418684
2016-09-01,AMD,R2,0.2752939956323188
2016-09-02,AMD,R2,0.27284818001273814
2016-09-06,AMD,R2,0.2542688819232707
2016-09-07,AMD,R2,0.2655760482004209
2016-09-08,AMD,R2,0.2299292987744308
2016-09-09,AMD,R2,0.2552666024877025
2016-09-12,AMD,R2,0.2727725748417903
2016-09-13,AMD,R2,0.2889442942811534
2016-09-14,AMD,R2,0.31172385609616815
2016-09-15,AMD,R2,0.33570186561922366
2016-09-16,AMD,R2,0.30831522631694286
2016-09-19,AMD,R2,0.3014920015782455
2016-09-20,AMD,R2,0.26760345762438287
2016-09-21,AMD,R2,0.2706169870028121
2016-09-22,AMD,R2,0.23984323058030288
2016-09-23,AMD,R2,0.24297673035771372
2016-09-26,AMD,R2,0.2562898242804016
2016-09-27,AMD,R2,0.2784985715338961
2016-09-28,AMD,R2,0.2727025045652717
2016-09-29,AMD,R2,0.2767108138652825
2016-09-30,AMD,R2,0.2957093897644466
2016-10-03,AMD,R2,0.2904559736581527
2016-10-04,AMD,R2,0.3188901601835755
2016-10-05,AMD,R2,0.30519569357743215
2016-10-06,AMD,R2,0.2927605408805606
2016-10-07,AMD,R2,0.2962610600381065
2016-10-10,AMD,R2,0.2957599427450429
2016-10-11,AMD,R2,0.2889172557786279
2016-10-12,AMD,R2,0.2894283389816571
2016-10-13,AMD,R2,0.2916278112608943
2016-10-14,AMD,R2,0.2832235165116047
2016-10-17,AMD,R2,0.28251780032438234
2016-10-18,AMD,R2,0.3526517023732899
2016-10-19,AMD,R2,0.34185942919550827
2016-10-20,AMD,R2,0.36171549667860414
2016-10-21,AMD,R2,0.32068966718638503
2016-10-24,AMD,R2,0.33308664672018684
2016-10-25,AMD,R2,0.2971352259047909
2016-10-26,AMD,R2,0.29761153578062405
2016-10-27,AMD,R2,0.30517527431919134
2016-10-28,AMD,R2,0.2837706220719487
2016-10-31,AMD,R2,0.27768823610540605
2016-11-01,AMD,R2,0.2809778755893053
2016-11-02,AMD,R2,0.293464598712025
2016-11-03,AMD,R2,0.2955364718584269
2016-11-04,AMD,R2,0.2888469399009117
2016-11-07,AMD,R2,0.31806605776244823
2016-11-08,AMD,R2,0.32331728488958056
2016-11-09,AMD,R2,0.31738858701279726
2016-11-10,AMD,R2,0.3965627689802016
2016-11-11,AMD,R2,0.43021225801630236
2016-11-14,AMD,R2,0.3840508918990285
2016-11-15,AMD,R2,0.3903597236941003
2016-11-16,AMD,R2,0.4086735077932123
2016-11-17,AMD,R2,0.41020031305705973
2016-11-18,AMD,R2,0.41224207987532213
2016-11-21,AMD,R2,0.4205817866076058
2016-11-22,AMD,R2,0.403126503460958
2016-11-23,AMD,R2,0.40246271498151476
2016-11-25,AMD,R2,0.40235880739427665
2016-11-28,AMD,R2,0.4049492074798593
2016-11-29,AMD,R2,0.40351341291447573
2016-11-30,AMD,R2,0.3871012643038819
2016-12-01,AMD,R2,0.42600147442326064
2016-12-02,AMD,R2,0.47278064229156314
2016-12-05,AMD,R2,0.4441729364187311
2016-12-06,AMD,R2,0.43222208884693025
2016-12-07,AMD,R2,0.4388209558286412
2016-12-08,AMD,R2,0.42663952106693925
2016-12-09,AMD,R2,0.4379867511702904
2016-12-12,AMD,R2,0.4188503219327465
2016-12-13,AMD,R2,0.40057146578573066
2016-12-14,AMD,R2,0.39574545063146693
2016-12-15,AMD,R2,0.39784795789788885
2016-12-16,AMD,R2,0.39946871255931593
2016-12-19,AMD,R2,0.41576589317170587
2016-12-20,AMD,R2,0.42387999196916426
2016-12-21,AMD,R2,0.4306993725808801
2016-12-22,AMD,R2,0.4300813525544941
2016-12-23,AMD,R2,0.428443587911996
2016-12-27,AMD,R2,0.4348491205912417
2016-12-28,AMD,R2,0.4508179397267026
2016-12-29,AMD,R2,0.45057945246944764
2016-12-30,AMD,R2,0.4551028671999453
2017-01-03,AMD,R2,0.4530125699196852
2017-01-04,AMD,R2,0.45548428909346084
2017-01-05,AMD,R2,0.45860995478052746
2017-01-06,AMD,R2,0.45358023828932237
2017-01-09,AMD,R2,0.45567812685032605
2017-01-10,AMD,R2,0.4444437698412963
2017-01-11,AMD,R2,0.4386274269628324
2017-01-12,AMD,R2,0.44024509017687563
2017-01-13,AMD,R2,0.428332980820897
2017-01-17,AMD,R2,0.445737828433843
2017-01-18,AMD,R2,0.43917765850639223
2017-01-19,AMD,R2,0.46088334797461716
2017-01-20,AMD,R2,0.4392082777559353
2017-01-23,AMD,R2,0.4799455847484835
2017-01-24,AMD,R2,0.4838621296749329
2017-01-25,AMD,R2,0.47008823491627505
2017-01-26,AMD,R2,0.474997307213764
2017-01-27,AMD,R2,0.4765301049139029
2017-01-30,AMD,R2,0.47300962964250093
2017-01-31,AMD,R2,0.4503192626837962
2017-02-01,AMD,R2,0.4292077808822854
2017-02-02,AMD,R2,0.4221774110049278
2017-02-03,AMD,R2,0.4112897357791021
2017-02-06,AMD,R2,0.3706737963611513
2017-02-07,AMD,R2,0.3694352909434814
2017-02-08,AMD,R2,0.3333231032607685
2017-02-09,AMD,R2,0.32687978584853783
2017-02-10,AMD,R2,0.34209492255816587
2017-02-13,AMD,R2,0.3414866707034543
2017-02-14,AMD,R2,0.30812374017914956
2017-02-15,AMD,R2,0.3897800520799549
2017-02-16,AMD,R2,0.3747127038640937
2017-02-17,AMD,R2,0.36956676565267244
2017-02-21,AMD,R2,0.40733386263331217
2017-02-22,AMD,R2,0.4014553067739931
2017-02-23,AMD,R2,0.3561396660298186
2017-02-24,AMD,R2,0.35776218636684654
2017-02-27,AMD,R2,0.38181794554366066
2017-02-28,AMD,R2,0.3994537025470094
2017-03-01,AMD,R2,0.3787197242863365
2017-03-02,AMD,R2,0.41327583543139823
2017-03-03,AMD,R2,0.3991915997894203
2017-03-06,AMD,R2,0.40080072905717756
2017-03-07,AMD,R2,0.4135644069676584
2017-03-08,AMD,R2,0.40004736657081597
2017-03-09,AMD,R2,0.39953879545962545
2017-03-10,AMD,R2,0.4440814019686119
2017-03-13,AMD,R2,0.4625288705823445
2017-03-14,AMD,R2,0.46787664063231404
2017-03-15,AMD,R2,0.43984210131204793
2017-03-16,AMD,R2,0.43819336034122525
2017-03-17,AMD,R2,0.44886735494109153
2017-03-20,AMD,R2,0.4590536954973511
2017-03-21,AMD,R2,0.47014214446685365
2017-03-22,AMD,R2,0.47989458239435745
2017-03-23,AMD,R2,0.489254202035013
2017-03-24,AMD,R2,0.46360144665984715
2017-03-27,AMD,R2,0.4525216033569609
2017-03-28,AMD,R2,0.45259030240441145
2017-03-29,AMD,R2,0.4477525532936928
2017-03-30,AMD,R2,0.4516066200837925
2017-03-31,AMD,R2,0.4480291430758837
2017-04-03,AMD,R2,0.4436701149460389
2017-04-04,AMD,R2,0.45339470793422976
2017-04-05,AMD,R2,0.4722354643435255
2017-04-06,AMD,R2,0.4439383926206526
2017-04-07,AMD,R2,0.44116285735629857
2017-04-10,AMD,R2,0.43094629975411947
2017-04-11,AMD,R2,0.4409926315195636
2017-04-12,AMD,R2,0.4408743989682491
2017-04-13,AMD,R2,0.45236750527200587
2017-04-17,AMD,R2,0.46404303619760756
2017-04-18,AMD,R2,0.4611490582766552
2017-04-19,AMD,R2,0.45313645687793835
2017-04-20,AMD,R2,0.4436743141974976
2017-04-21,AMD,R2,0.4770261569424059
2017-04-24,AMD,R2,0.4756294345476024
2017-04-25,AMD,R2,0.4775185520776989
2017-04-26,AMD,R2,0.477534097461079
2017-04-27,AMD,R2,0.47340230531403016
2017-04-28,AMD,R2,0.36685291383427343
2017-05-01,AMD,R2,0.37537494224793966
2017-05-02,AMD,R2,0.2699076171415763
2017-05-03,AMD,R2,0.3439146422612568
2017-05-04,AMD,R2,0.31882876432036644
2017-05-05,AMD,R2,0.31409081613413803
2017-05-08,AMD,R2,0.312562756023093
2017-05-09,AMD,R2,0.3037262831472658
2017-05-10,AMD,R2,0.3204847923172752
2017-05-11,AMD,R2,0.3190846368828565
2017-05-12,AMD,R2,0.3146483177061137
2017-05-15,AMD,R2,0.30970391671379793
2017-05-16,AMD,R2,0.3193082619594614
2017-05-17,AMD,R2,0.37716557165214015
2017-05-18,AMD,R2,0.37455521805426184
2017-05-19,AMD,R2,0.40823412481547505
2017-05-22,AMD,R2,0.4088760063828043
2017-05-23,AMD,R2,0.38994859726930264
2017-05-24,AMD,R2,0.3820109569313621
2017-05-25,AMD,R2,0.3821967663216904
2017-05-26,AMD,R2,0.3701585346953117
2017-05-30,AMD,R2,0.3899737429518806
2017-05-31,AMD,R2,0.37755717206110206
2017-06-01,AMD,R2,0.3737370074137508
2017-06-02,AMD,R2,0.3714324306444059
2017-06-05,AMD,R2,0.3588236807769032
2017-06-06,AMD,R2,0.3540478133262087
2017-06-07,AMD,R2,0.3433956357282679
2017-06-08,AMD,R2,0.3489111748926378
2017-06-09,AMD,R2,0.3609706734899859
2017-06-12,AMD,R2,0.36653400541282066
2017-06-13,AMD,R2,0.36714713933716525
2017-06-14,AMD,R2,0.3713806383373912
2017-06-15,AMD,R2,0.3643904134471131
2017-06-16,AMD,R2,0.3716279265362943
2017-06-19,AMD,R2,0.3830073933527436
2017-06-20,AMD,R2,0.35829204957712246
2017-06-21,AMD,R2,0.33694974068872185
2017-06-22,AMD,R2,0.3389406258786788
2017-06-23,AMD,R2,0.3405995434204341
2017-06-26,AMD,R2,0.34129056657071455
2017-06-27,AMD,R2,0.3351472523771245
2017-06-28,AMD,R2,0.32740554619160134
2017-06-29,AMD,R2,0.3094675290510577
2017-06-30,AMD,R2,0.310720318016076
2017-07-03,AMD,R2,0.3247068935730364
2017-07-05,AMD,R2,0.33407864712688085
2017-07-06,AMD,R2,0.3294940694792783
2017-07-07,AMD,R2,0.33250956535264065
2017-07-10,AMD,R2,0.33480998820529195
2017-07-11,AMD,R2,0.3378535630816568
2017-07-12,AMD,R2,0.3347140716133967
2017-07-13,AMD,R2,0.33257991906759443
2017-07-14,AMD,R2,0.3252986392621935
2017-07-17,AMD,R2,0.32690491749005435
2017-07-18,AMD,R2,0.33022925618794974
2017-07-19,AMD,R2,0.33120060130292184
2017-07-20,AMD,R2,0.3311068466809173
2017-07-21,AMD,R2,0.3301610734671828
2017-07-24,AMD,R2,0.3302820927261009
2017-07-25,AMD,R2,0.3334295411452147
2017-07-26,AMD,R2,0.33384454039540834
2017-07-27,AMD,R2,0.5538067236074792
2017-07-28,AMD,R2,0.5549794780540113
2017-07-31,AMD,R2,0.5550406368314649
2017-08-01,AMD,R2,0.5579517224354011
2017-08-02,AMD,R2,0.5727537043339239
2017-08-03,AMD,R2,0.5752340902080499
2017-08-04,AMD,R2,0.5642433988183647
2017-08-07,AMD,R2,0.5608129020496326
2017-08-08,AMD,R2,0.5713468394282923
2017-08-09,AMD,R2,0.5704853336067361
2017-08-10,AMD,R2,0.5591025494944222
2017-08-11,AMD,R2,0.5062558741241394
2017-08-14,AMD,R2,0.5060478760810985
2017-08-15,AMD,R2,0.4957712293449714
2017-08-16,AMD,R2,0.5053450910489605
2017-08-17,AMD,R2,0.5080261681503889
2017-08-18,AMD,R2,0.5057582484925479
2017-08-21,AMD,R2,0.5061964460003673
2017-08-22,AMD,R2,0.5083705522612514
2017-08-23,AMD,R2,0.5116153593224435
2017-08-24,AMD,R2,0.5131017320485185
2017-08-25,AMD,R2,0.5025996788062636
2017-08-28,AMD,R2,0.5275587609464307
2017-08-29,AMD,R2,0.5271793104019824
2017-08-30,AMD,R2,0.5494876855810218
2017-08-31,AMD,R2,0.5603785441731306
2017-09-01,AMD,R2,0.5474674698499948
2017-09-05,AMD,R2,0.558159321632703
2017-09-06,AMD,R2,0.5563317911480821
2017-09-07,AMD,R2,0.5493675226099545
2017-09-08,AMD,R2,0.5535013020390037
2017-09-11,AMD,R2,0.5458342856616544
2017-09-12,AMD,R2,0.5430323327708209
2017-09-13,AMD,R2,0.531659230522987
2017-09-14,AMD,R2,0.5565118573313754
2017-09-15,AMD,R2,0.5602512813106706
2017-09-18,AMD,R2,0.5896653906065792
2017-09-19,AMD,R2,0.5882161383232172
2017-09-20,AMD,R2,0.5262056813918221
2017-09-21,AMD,R2,0.5033119295639792
2017-09-22,AMD,R2,0.5538314974755942
2017-09-25,AMD,R2,0.5639661414722097
2017-09-26,AMD,R2,0.5600889803424178
2017-09-27,AMD,R2,0.5466745544629932
2017-09-28,AMD,R2,0.5488319564114417
2017-09-29,AMD,R2,0.5501729304599657
2017-10-02,AMD,R2,0.5414816825578735
2017-10-03,AMD,R2,0.47396741377060914
2017-10-04,AMD,R2,0.4740310165627005
2017-10-05,AMD,R2,0.4622861844424736
2017-10-06,AMD,R2,0.49961593891593226
2017-10-09,AMD,R2,0.4962081326900192
2017-10-10,AMD,R2,0.4928053436976503
2017-10-11,AMD,R2,0.5111136696579563
2017-10-12,AMD,R2,0.5035057688830074
2017-10-13,AMD,R2,0.5043432845885696
2017-10-16,AMD,R2,0.5077256663790577
2017-10-17,AMD,R2,0.509351651449928
2017-10-18,AMD,R2,0.5048694961015887
2017-10-19,AMD,R2,0.5151722450548373
2017-10-20,AMD,R2,0.49100720331667014
2017-10-23,AMD,R2,0.46837343320464175
2017-10-24,AMD,R2,0.46288086197520295
2017-10-25,AMD,R2,0.4473838993081555
2017-10-26,AMD,R2,0.4367048917695636
2017-10-27,AMD,R2,0.40877442688536647
2017-10-30,AMD,R2,0.3674999013462531
2017-10-31,AMD,R2,0.35741313144988096
2017-11-01,AMD,R2,0.35729983240501584
2017-11-02,AMD,R2,0.3548979191758417
2017-11-03,AMD,R2,0.3200417144576211
2017-11-06,AMD,R2,0.35938696882528653
2017-11-07,AMD,R2,0.31611487517356485
2017-11-08,AMD,R2,0.35468572849163293
2017-11-09,AMD,R2,0.3963398571186647
2017-11-10,AMD,R2,0.3933130831455598
2017-11-13,AMD,R2,0.38308959879846405
2017-11-14,AMD,R2,0.3783115930753159
2017-11-15,AMD,R2,0.3906755371688806
2017-11-16,AMD,R2,0.38984738620749804
2017-11-17,AMD,R2,0.3886019132596712
2017-11-20,AMD,R2,0.39855304704055894
2017-11-21,AMD,R2,0.39912765699120045
2017-11-22,AMD,R2,0.3988524083906224
2017-11-24,AMD,R2,0.38323447930705334
2017-11-27,AMD,R2,0.37109614026227944
2017-11-28,AMD,R2,0.31336115974464196
2017-11-29,AMD,R2,0.3125280083991995
2017-11-30,AMD,R2,0.3149158734275932
2017-12-01,AMD,R2,0.314552933945618
2017-12-04,AMD,R2,0.35023449019634634
2017-12-05,AMD,R2,0.3421081982807366
2017-12-06,AMD,R2,0.34204649660238107
2017-12-07,AMD,R2,0.34264815380775415
2017-12-08,AMD,R2,0.34288130414300444
2017-12-11,AMD,R2,0.3388733635894877
2017-12-12,AMD,R2,0.3270530187174078
2017-12-13,AMD,R2,0.32743358197253203
2017-12-14,AMD,R2,0.3755184450329644
2017-12-15,AMD,R2,0.3759627622061019
2017-12-18,AMD,R2,0.38450360215650337
2017-12-19,AMD,R2,0.3408719521658854
2017-12-20,AMD,R2,0.34150590169906536
2017-12-21,AMD,R2,0.33942475462800437
2017-12-22,AMD,R2,0.3386467837974271
2017-12-26,AMD,R2,0.33718659646050697
2017-12-27,AMD,R2,0.34733808264448185
2017-12-28,AMD,R2,0.3390831182805881
2017-12-29,AMD,R2,0.34594114032451007
2018-01-02,AMD,R2,0.3807905203472851
2018-01-03,AMD,R2,0.40602576012213787
2018-01-04,AMD,R2,0.4054340511445046
2018-01-05,AMD,R2,0.38828719319277427
2018-01-08,AMD,R2,0.3960828494465276
2018-01-09,AMD,R2,0.42503589720508994
2018-01-10,AMD,R2,0.42313374475228593
2018-01-11,AMD,R2,0.426060005231919
2018-01-12,AMD,R2,0.4259429740530172
2018-01-16,AMD,R2,0.4266336141048862
2018-01-17,AMD,R2,0.4325087375693024
