Ticker,Model,ForecastVol,BaseWeight,VolAdjWeight,CurrentDollar,TargetDollar,DeltaDollar,Price,DeltaShares
QQQM,EWMA (20D),0.076,0.046766213019219835,0.024561641274573963,5083.1,2669.6469673838405,-2413.45303261616,231.25,-10.0
RDDT,EWMA (20D),0.32420000000000004,0.14184116689988222,0.017463370091302558,15416.96,1898.1236833227958,-13518.836316677203,142.52,-94.0
SGOV,EWMA (20D),0.0024,0.049416460962859836,0.8218625110065622,5371.160000000001,89329.64762360715,83958.48762360714,100.56,834.0
SMCI,EWMA (20D),0.47,0.06715847525500315,0.0057035038949245585,7299.570000000001,619.9236323962386,-6679.646367603762,52.75,-126.0
SNOW,EWMA (20D),0.2078,0.06984110837104338,0.013415422435874798,7591.15,1458.1453015186387,-6133.004698481361,211.58,-28.0
TSLA,EWMA (20D),0.4257,0.06975646530681548,0.006540630100385323,7581.95,710.9123171808891,-6871.037682819111,319.41,-21.0
ULTY,EWMA (20D),0.1409,0.1553378715043431,0.04400531456223638,16883.94,4783.013205695638,-12100.92679430436,6.4,-1890.0
AMD,Garch Volatility,0.948,0.07221801441922568,0.029068598618314744,7849.5,3159.515900422177,-4689.984099577823,160.41,-29.0
APLD,Garch Volatility,1.2305,0.07529534182389383,0.02334927391802692,8183.98,2537.8726775235177,-5646.107322476482,10.91,-517.0
APP,Garch Volatility,0.8489,0.07041622119113967,0.03165213946945114,7653.66,3440.3253919885415,-4213.334608011459,363.78,-11.0
BRK-B,Garch Volatility,0.245,0.002371360087408758,0.0036933316729656153,257.7472,401.43456172378154,143.68736172378152,473.4,0.0
GOOGL,Garch Volatility,0.3923,0.09534636370617577,0.09274120093664602,10363.36,10080.200384994305,-283.15961500569574,183.58,-1.0
META,Garch Volatility,0.5225,0.08423493745298928,0.0615166747383941,9155.64,6686.353013749916,-2469.286986250084,701.41,-3.0
QQQM,Garch Volatility,0.1635,0.046766213019219835,0.10914436924741842,5083.1,11863.08891621278,6779.98891621278,231.25,29.0
RDDT,Garch Volatility,0.4422,0.14184116689988222,0.12239690780575686,15416.96,13303.530089377797,-2113.4299106222024,142.52,-14.0
SGOV,Garch Volatility,0.2767,0.049416460962859836,0.06814741226934735,5371.160000000001,7407.059262291713,2035.8992622917121,100.56,20.0
SMCI,Garch Volatility,0.8649,0.06715847525500315,0.029629329197227754,7299.570000000001,3220.462669930782,-4079.1073300692187,52.75,-77.0
SNOW,Garch Volatility,0.5835,0.06984110837104338,0.045672748922555906,7591.15,4964.249509637051,-2626.9004903629484,211.58,-12.0
TSLA,Garch Volatility,0.7803,0.06975646530681548,0.03411220146134171,7581.95,3707.7137543055796,-3874.23624569442,319.41,-12.0
ULTY,Garch Volatility,0.1699,0.1553378715043431,0.3488758117425535,16883.94,37919.91106784206,21035.971067842063,6.4,3286.0
AMD,E-Garch Volatility,1.0637,0.07221801441922568,0.03975573804875289,7849.5,4321.119437072329,-3528.3805629276712,160.41,-21.0
APLD,E-Garch Volatility,2.0312,0.07529534182389383,0.021706452755172613,8183.98,2359.3116242803826,-5824.668375719617,10.91,-533.0
APP,E-Garch Volatility,1.6891999999999998,0.07041622119113967,0.024409848199663,7653.66,2653.1483174126997,-5000.5116825873,363.78,-13.0
BRK-B,E-Garch Volatility,0.26739999999999997,0.002371360087408758,0.005192894972407808,257.7472,564.4246717902513,306.6774717902513,473.4,0.0
GOOGL,E-Garch Volatility,0.5540999999999999,0.09534636370617577,0.10076029271686035,10363.36,10951.809240970204,588.4492409702034,183.58,3.0
META,E-Garch Volatility,0.7136,0.08423493745298928,0.06912113364265353,9155.64,7512.8947104307035,-1642.745289569296,701.41,-2.0
QQQM,E-Garch Volatility,0.2922,0.046766213019219835,0.09371852135427808,5083.1,10186.427019441353,5103.327019441353,231.25,22.0
RDDT,E-Garch Volatility,0.4596,0.14184116689988222,0.18071562805142263,15416.96,19642.291937785616,4225.331937785617,142.52,29.0
SGOV,E-Garch Volatility,0.5562,0.049416460962859836,0.05202523982958313,5371.160000000001,5654.712654819226,283.5526548192256,100.56,2.0
SMCI,E-Garch Volatility,1.5252000000000001,0.06715847525500315,0.025783832241663397,7299.570000000001,2802.48900234312,-4497.080997656881,52.75,-85.0
SNOW,E-Garch Volatility,0.5821000000000001,0.06984110837104338,0.07025657264875054,7591.15,7636.307525779249,45.15752577924923,211.58,0.0
TSLA,E-Garch Volatility,1.3425,0.06975646530681548,0.03042591218922667,7581.95,3307.044643223458,-4274.905356776542,319.41,-13.0
ULTY,E-Garch Volatility,0.3179,0.1553378715043431,0.2861279333495654,16883.94,31099.73641465141,14215.79641465141,6.4,2221.0
